Name,Street Address,Locality,Borough,Postal Code,Country,Latitude,Longitude,Rent,Payment Standard (PS),Ratio,Price Currency,Description,Property Type,# Beds,# Baths,Square Footage,URL,Image URL
"2455 Third Avenue #9-Q, Mott Haven, NY 10451",2455 Third Avenue #9-Q,Mott Haven,Bronx,10451,USA,40.80939,-73.929846,2239,2484,0.9,USD,"Condo, 1 Bed, 1 Bath",Condo,1,1,0,https://www.citysnap.com/NY/Mott-Haven/2455-Third-Avenue/property/33920284,https:https://images.citysnap.com/listings/301/9676576383-611393671-original.jpg
"2455 Third Avenue #4-L, Mott Haven, NY 10451",2455 Third Avenue #4-L,Mott Haven,Bronx,10451,USA,40.80939,-73.929846,2321,2484,0.9,USD,"Condo, 1 Bed, 1 Bath",Condo,1,1,0,https://www.citysnap.com/NY/Mott-Haven/2455-Third-Avenue/property/33920286,https:https://images.citysnap.com/listings/301/1107576383-911393671-original.jpg
"5823 Fieldston Road #1, Bronx, NY 10471",5823 Fieldston Road #1,Bronx,Bronx,10471,USA,40.906104,-73.900836,2395,2484,1,USD,"Multi-Family, 1 Bed, 1 Bath, 2,018 Sq Ft",Multi-Family,1,1,2018,https://www.citysnap.com/NY/Bronx/5823-Fieldston-Road/property/33886897,https:https://images.citysnap.com/listings/301/8665282383-575203671-original.jpg
"2750 Johnson Avenue #5-C, Bronx, NY 10463",2750 Johnson Avenue #5-C,Bronx,Bronx,10463,USA,40.880116,-73.911795,1900,2484,0.8,USD,"Co-op, 1 Bed, 1 Bath",Co-op,1,1,0,https://www.citysnap.com/NY/Bronx/2750-Johnson-Avenue/property/4191341,https:https://images.citysnap.com/listings/301/2775058283-813931671-original.jpg
"299 E 161st Street #903, Bronx, NY 10451",299 E 161st Street #903,Bronx,Bronx,10451,USA,40.825531,-73.917194,2575,2484,1,USD,"Condo, 1 Bed, 1 Bath, 532 Sq Ft, 0.08 Acres",Condo,1,1,532,https://www.citysnap.com/NY/Bronx/299-E-161st-Street/property/33782746,https:https://images.citysnap.com/listings/301/4038131283-808395571-original.jpg
"751 E 133rd Street #4-B, Bronx, NY 10454",751 E 133rd Street #4-B,Bronx,Bronx,10454,USA,40.801433,-73.914147,2266,2484,0.9,USD,"Condo, 1 Bed, 1 Bath",Condo,1,1,0,https://www.citysnap.com/NY/Bronx/751-E-133rd-Street/property/16520437,https:https://images.citysnap.com/listings/301/8084408283-130794571-original.jpg
"5425 Valles Avenue #1M, Bronx, NY 10471",5425 Valles Avenue #1M,Bronx,Bronx,10471,USA,40.902058,-73.900055,2100,2484,0.8,USD,"Co-op, 1 Bed, 1 Bath",Co-op,1,1,0,https://www.citysnap.com/NY/Bronx/5425-Valles-Avenue/property/903390,https:https://images.citysnap.com/listings/301/7411875183-361144571-original.jpg
"5425 Valles Avenue #4F, Bronx, NY 10471",5425 Valles Avenue #4F,Bronx,Bronx,10471,USA,40.902058,-73.900055,2300,2484,0.9,USD,"Co-op, 1 Bed, 1 Bath, 750 Sq Ft",Co-op,1,1,750,https://www.citysnap.com/NY/Bronx/5425-Valles-Avenue/listing/175190203,https:https://images.citysnap.com/listings/301/9152538083-302091571-original.jpg
"225 E 138th Street #509, Bronx, NY 10451",225 E 138th Street #509,Bronx,Bronx,10451,USA,40.812018,-73.928016,2850,2484,1.1,USD,"Condo, 1 Bed, 1 Bath, 645 Sq Ft",Condo,1,1,645,https://www.citysnap.com/NY/Bronx/225-E-138th-Street/property/16555903,https:https://images.citysnap.com/listings/301/5934763083-920090571-original.jpg
"299 E 161 Street #1201, Concourse Village, NY 10451",299 E 161 Street #1201,Concourse Village,Bronx,10451,USA,40.825531,-73.917194,2800,2484,1.1,USD,"Condo, 1 Bed, 1 Bath, 658 Sq Ft, 0.08 Acres",Condo,1,1,658,https://www.citysnap.com/NY/Concourse-Village/299-E-161-Street/property/33532131,https:https://images.citysnap.com/listings/301/5484281873-292406471-original.jpg
